sample,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60
ST,14.4,14.1,14.6,13.2,15.5,16.9,16.4,16.7,15.6,16.2,27,27,27,27.4,28,18,17,16,18,17,27,27,29,28,25,25,26,24,24,24,30,29,30,32,28,27,27,28,27,27,26,27,27,28,28,25.9,26.4,25.8,26.8,26,23,22.7,22.8,23.3,22,15,16,15,16,16
NH4,206.4919056,4.367721949,8.936737128,12.63537906,2.04818569,57.77372632,13.8886845,11.04203018,231.2213121,10.3647569,3.852686639,99.64292363,53.59596958,7.631336406,0.782134059,5.890861467,10.10914383,3.693559133,1.149255112,0.795720584,2.567837574,3.205478201,1.495563119,0.543382855,2.606899806,3.770907268,0.649609346,1.244984856,0.518902901,0.509794099,117.4022414,15.23165584,235.5051575,116.9577137,48.89607982,15.7678028,15.24073427,64.25146886,1.235843769,49.40701204,2.264471448,4.11131798,25.55742684,0.86305627,1.348273959,0.519380919,1.565995828,0.480061413,0.653851103,1.084780516,0.443668493,0.747302913,0.402116402,0.882719215,0.381363244,0.859131282,1.186710093,0.935978452,0.91168205,0.817952572
NO3 ,2.988543703,2.043933402,1.673210451,2.340926838,3.069092191,2.824513904,3.038044448,2.775516468,1.359481813,6.210654369,3.746814743,5.311342039,6.851010778,13.69140961,41.82515863,0.589965883,13.75815099,4.196147164,3.864641442,9.568094412,3.371362007,9.280425014,5.451592402,7.965852545,6.469880162,6.091466646,11.49792367,7.938867795,13.55000365,8.011621761,22.21916501,23.34007483,8.038459356,19.92971455,3.576133112,41.34490384,26.5496431,16.00675428,20.12992868,3.89309927,44.69304941,37.05905416,12.74122007,16.30486515,32.30614,7.926487078,15.75017491,19.99366527,13.76481333,4.428995684,14.05751294,20.37873167,2.65725514,11.8771343,3.415948313,1.518465858,10.180689,0.564545376,11.75886253,1.810949863
WFPS,41.77000675,43.2257563,48.4236996,60.1252676,55.13479945,42.95403043,43.92099139,41.79789686,47.96501659,49.45750834,36.83934592,38.18578806,32.01061405,32.12118681,41.44493851,40.65455343,43.96311848,38.23073043,33.5846521,48.3649664,38.45424789,33.25804081,31.83401659,27.55959815,36.62311905,39.74383012,37.74794936,33.98255976,27.46965805,42.29918477,25.78376375,25.90476805,20.47092275,22.08552449,36.44134286,41.07707461,45.1442576,41.50560388,30.35958148,45.7091331,40.41107493,50.15730777,40.90663076,36.27211312,45.94303749,43.9737834,52.04891433,42.13190025,34.19961655,51.8344161,48.51950718,47.59826146,37.04932181,32.20118977,47.06392052,24.61892076,24.50258539,21.09543017,20.55065178,34.42023151
pH,7.61,6.75,6.83,5.95,7.37,6.87,6.44,6.46,7.02,6.52,6.74,6.58,6.12,5.89,6.11,6.53,6.31,6.29,6,6.32,6.25,6.18,6.25,6.24,6.17,6.19,6.29,6.27,6.11,6.27,7.01,7,7.01,7,5.82,6.26,6.04,6.43,5.85,6.33,6.48,6.32,5.49,6.04,6.44,5.64,6.25,6.08,5.71,5.94,6.84,6,5.91,6.29,6.08,6.48,6,5.86,6.49,6.57
N2O_production,4.35486352,2.657811253,2.473415404,3.056898221,2.257386219,4.404516333,1.364153412,0.969821467,1.997204559,2.318636744,0.73102041,0.947564835,0.419516842,2.543222766,2.813878217,2.195186455,1.715297315,1.09901528,2.432888404,4.950725835,1.485816825,1.135059331,0.501843189,0.855662251,5.129164592,4.462282812,4.624915963,0.986064867,1.608496508,2.606477206,1.123788068,0.764640272,0.936214948,0.425954203,1.378534729,3.166278115,3.34430728,1.1217287,6.203803455,2.407445465,19.79276922,14.12912478,1.324854014,8.341499624,15.52528938,3.253562083,7.772386552,0.83126229,2.305777805,3.885639231,2.924979289,2.55035495,0.997911424,3.001194683,1.78173632,0.272184604,0.165108845,0.154685463,0.144636684,0.180637428
N2O_consumption,1.825400144,2.369790698,0.363753385,0.798786948,0.666879332,1.563407321,1.071392321,0.460561642,0.202340487,0.382535425,0.096149296,0.741145441,0.126433394,0.289687262,0.332147546,1.611864315,0.655699123,0.218426834,0.230412518,0.105234879,0.208234424,0.085487972,0.168370541,0.13370357,0.118893171,0.684813116,0.356192239,0.269020908,0.436984926,0.087953032,0.145076702,0.033732748,0.156882824,0.193237575,0.283140436,0.402870701,0.206467506,0.223362785,0.542376971,0.244234141,1.327538615,0.210919865,0.411897588,0.529775725,0.887477191,0.770278456,0.458497031,0.477482338,0.612547118,0.673530554,0.832373387,0.385917273,0.493134208,0.804090274,0.669527686,0.153226464,0.050886525,0.078925493,0.044136742,0.177868592
N2O_flux,2.529463376,0.288020555,2.109662019,2.258111273,1.590506887,2.841109013,0.292761091,0.509259825,1.794864072,1.936101319,0.634871114,0.206419394,0.293083448,2.253535504,2.481730671,0.58332214,1.059598192,0.880588446,2.202475887,4.845490956,1.277582401,1.049571358,0.333472648,0.721958681,5.010271421,3.777469696,4.268723724,0.717043958,1.171511582,2.518524175,0.978711366,0.730907523,0.779332123,0.232716627,1.095394293,2.763407414,3.137839774,0.898365915,5.661426484,2.163211324,18.46523061,13.91820492,0.912956426,7.8117239,14.63781219,2.483283627,7.313889521,0.353779951,1.693230688,3.212108677,2.092605902,2.164437677,0.504777216,2.197104409,1.112208634,0.11895814,0.11422232,0.07575997,0.100499943,0.002768836
Fe_redox,4.080934474,4.783987695,1.220156306,1.337104139,0.901811227,3.837060366,2.000230902,1.779010643,1.720674017,2.79661537,0.685749175,2.146475554,2.155021044,2.024131374,2.824526855,1.782244307,1.356607214,2.006419994,0.942370529,1.036029808,1.183712462,2.458609361,0.867367829,0.880946507,1.000078534,1.475767682,0.796300355,1.677096255,2.233630707,1.945580662,2.763266266,2.371946505,3.062363978,2.459773045,1.63103688,1.07858303,1.088397188,0.965499585,2.504435926,2.758314706,2.241121554,2.433349004,3.115283015,2.022874583,1.737767021,2.222931178,1.421943959,2.067216753,1.627300111,1.617299656,2.308422061,1.35173948,1.662779499,1.751586284,1.637687404,2.500855243,2.629018784,2.945808735,2.652627682,1.825604744
DOC,58.03194908,53.44114095,36.90678977,35.37822971,26.41158608,41.02193068,39.66368136,19.22978507,49.89904084,34.22414275,31.32766706,27.70083242,24.01745098,32.24307692,32.48618397,47.32716201,45.15122374,49.12473398,35.6912919,31.50990812,52.32203048,30.06053238,23.15568171,44.87282522,33.55230579,45.05118644,36.93842719,40.75269304,42.19889745,33.87175146,43.32925376,47.86329845,42.74084165,48.86086686,31.37931034,48.9495098,32.18178396,54.89701178,41.15566921,38.41039571,64.10009419,66.55431499,47.46422404,40.13556977,49.80900394,44.4082364,37.65813968,30.6737914,32.63200311,32.23510596,39.59513487,37.70378063,36.75703489,37.53242755,34.55302223,35.08533435,44.76660968,38.9803912,44.02052114,31.60622686
