sample,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
SR,0.622853009,0.573510917,0.539093107,0.569822167,0.316925743,0.609466515,0.386828221,0.626265748,0.448784711,0.28076992,0.648778933,0.403153512,0.454840778,0.330470586,0.532740374,0.781003621,0.450586003,0.373781034,0.580581347,0.394148042,0.84635723,0.427105852,0.37737413,0.377015192,0.413641088,0.973237076,0.505538961,0.351541726,0.28076992,0.623310357,0.733692031,0.391882347,0.46723799,0.592467236,0.514066103
NH4,3.178479263,7.066475391,1.19078991,0.847593061,2.569953447,6.302712644,7.976933348,1.972375431,0.877466732,1.327909154,1.341036107,2.193735873,1.365372212,0.878475625,1.049474751,0.886462138,2.363101452,1.320381254,0.830479452,1.365370909,1.169476707,2.997623338,1.452816313,1.766333701,1.159253342,1.11269084,3.042437161,0.904506791,0.86210768,2.240484127,0.810780581,2.53545687,0.86297423,0.744532708,0.958004341
NO3 ,54.6957638,57.48609608,28.81893754,17.16352891,43.25934114,51.29253256,45.87011886,50.53884352,23.92542168,74.2902297,80.59880468,20.76356666,34.72170326,6.373402576,15.12393054,34.22934154,32.84070588,21.553842,3.611372824,16.87694232,48.78167158,28.62052312,5.75390803,5.807684392,13.93628191,47.29309552,40.79653356,2.65365146,3.23191064,14.63371533,46.41584198,19.46358451,13.58644861,3.220252084,13.13795533
SOC,29.21952705,26.55938294,28.76405455,27.96730679,27.54294112,28.13565846,26.11326654,25.1893898,26.60433043,24.79408917,25.97434284,21.97598505,23.29405316,24.00915539,23.62437461,19.12301154,16.20395636,17.35350228,17.3993462,17.15505241,15.80649687,13.36856917,14.00124837,14.25896445,14.25142735,18.53941004,15.26853435,16.15638745,17.15606275,17.85752271,18.23425013,15.42779127,16.37853471,17.05636296,16.79107442
TN ,2.591344336,2.183616847,2.359976571,2.314233252,2.289831304,2.519948559,2.099395197,2.060907007,2.207558539,2.115863291,2.385802711,1.929123403,2.049407584,2.082810943,2.107588775,1.846883501,1.495612051,1.582703066,1.626249674,1.604600817,1.508258246,1.267251258,1.322825362,1.351971569,1.339298201,1.805906236,1.447791149,1.52791551,1.622775291,1.66682985,1.714909649,1.414148994,1.547522405,1.607851702,1.582769099
ST,30.3,24.9,28.8,23.2,22.7,32.5,25.9,27.7,22.9,21.2,28.8,25.5,28.5,26.5,24.8,25,24,26.4,22,20.3,30.8,25.6,28.8,21.5,21.2,30.5,23.8,28.3,21.4,21,29.3,24.6,26.6,21.6,21
WFPS,27.98632366,36.31558666,44.64484966,42.64582654,26.48705633,32.87625856,12.51634209,20.86057015,40.38606382,32.54248944,30.84771755,18.60922091,26.99175285,41.07440652,35.20663416,28.12471357,6.757236376,15.88863689,51.68372688,55.88417111,31.70683752,15.38986851,24.66087363,34.30271896,33.37561845,26.9569376,17.32945988,26.08171235,49.36270391,42.01081184,28.54310872,19.96266499,28.71821981,38.34933012,48.8559959
pH,5.21,5.41,5.29,5.6,5.41,5.09,5.45,5.38,5.55,5.25,5.21,5.77,5.85,6.35,6.52,5.16,5.13,5.21,5.42,5.39,5.54,5.8,5.79,6.06,5.99,5.77,6.11,6.32,6.41,6.26,5.69,5.6,6.08,6.14,6.11
GMR,4.161459898,6.396401473,2.727316601,3.969880833,3.646377954,16.23278668,5.903307345,4.086930145,3.881482552,1.651612897,3.827532168,1.744950822,3.858066374,4.169882243,2.735809033,2.703028166,1.33986881,4.835344009,4.348487666,2.815815924,4.759069419,2.264745146,1.138934949,6.534890596,3.182364452,6.052974651,3.548652737,1.159622699,3.110669701,7.443413399,1.791770538,1.49506747,1.858499322,3.093739437,2.322684544
GNR,16.51068723,15.36994394,10.15750483,5.921368681,21.9033365,27.31185445,2.944417432,19.43022926,0.795734347,9.827070303,48.73647551,0.956580077,16.48349359,1.274225041,2.416904167,4.57401219,24.4009742,22.5271962,2.568553369,6.943626918,13.19667607,2.040030986,7.634684156,2.961934833,0.907026659,6.073143418,6.702454118,3.100283999,1.534334581,4.225809656,16.00180478,17.39208022,0.230920246,2.936617748,1.630345952
Fe redox,0.672374338,0.536184184,0.642232812,1.396588836,0.703484657,1.058779218,1.258480464,0.644070288,0.56350712,0.617205488,2.363943444,1.179243902,0.348085232,0.914879504,0.808824457,1.957543637,0.139642858,0.98375831,0.846746211,1.949674655,1.027921499,0.952027996,0.37882157,2.31249151,1.198125339,0.536666197,0.22526847,0.451539814,0.285259888,1.663053727,2.564359784,1.367015922,0.429201956,0.363310336,0.705107746
DOC,49.20924124,59.99259134,52.92455122,17.34077753,45.80745572,44.24571674,46.25196288,49.66747758,21.01658412,44.71693932,72.79690156,22.70595148,41.00050886,9.477483624,29.88802124,50.10615306,35.32507,55.69156634,13.70386139,45.62287524,61.60456884,30.71981588,17.92596048,16.80567028,59.78564884,75.84242236,43.26932696,12.69882886,4.657074122,43.22854126,49.68017252,20.6292934,58.80894166,9.27247468,61.56342258
MBC,303.2921764,165.084501,127.2548825,146.8096581,58.53159168,184.1745556,170.8087523,159.5957346,110.2016364,126.964387,126.0852313,195.8421747,181.3303888,123.7834653,94.97158344,166.4640705,161.1834543,44.72906324,76.88607494,49.99893422,159.2153152,106.3652465,77.8362568,64.0755978,68.60375432,65.95472138,119.6744669,27.99109884,32.91018368,116.0642947,119.6744669,128.7229461,10.60124276,34.58635382,46.93888176
