sample,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108
ST,14.7,14.9,15.1,15.8,14.5,13,13.1,15.1,15.8,16.5,16.1,15.8,16.3,15.8,14.6,15.5,15.6,16,24,26,26,30,25.8,26.5,26.7,25,27,17,16,18,18,18,17,17,17,18,25,28,24,24,28,27,28,24,26,24,25,23,23,26,25,25,22,22,28,29,28,28,32,31,31,29,30,28,27,27,27,28,28,28,28,28,27,27,29,28,28,27,27,26,26,25.9,26,27,26,26.3,26.4,25.9,26,27,22,21.8,22,23,23.7,23.3,23.2,23,23,14,14,16,15,16,16,17,15.9,15.6
NH4,25.8655411,276.9166072,96.48975895,14.11811812,17.10714109,5.447093871,109.9475091,5.833364034,4.376534036,4.589835093,31.26212803,22.14056988,7.874762264,38.38870101,28.91172456,32.88825233,95.83931375,87.75974963,8.964248949,1.659343867,29.14538243,6.711148687,32.2642193,226.3618497,195.9728885,150.2549677,4.361831166,9.707553487,3.528162459,6.769510061,32.02560065,2.716301075,19.18320252,93.84617477,1.194300225,1.139192642,26.81014038,1.306447102,1.305196739,20.29278414,1.164825573,0.693717998,12.5351227,0.847044534,0.23303439,6.575265441,0.732274661,0.823830945,14.34325019,2.090879142,0.540102823,1.235699149,0.707928052,0.648013341,196.7130155,231.8386022,3.273448891,239.9374712,4.792421784,35.53392358,11.77138393,1.099809791,1.09362115,182.8690244,222.0807005,2.785191399,139.7525559,1.899148794,1.704762428,3.55341779,0.816469261,1.126388108,4.575235291,225.956291,1.116391962,120.6531802,0.531979232,0.683531456,1.679244343,0.626748862,0.99002228,2.303347389,142.742817,0.760802544,34.17628154,0.500597093,0.390945498,1.955550863,0.403189233,0.491156114,1.083610421,0.921182474,0.836610467,11.14096894,0.415972155,0.57361414,0.341546484,0.56385273,0.55374085,0.794233029,1.707464325,0.995798632,9.494532408,0.40059506,0.489022173,0.60497008,0.698988131,0.383540959
NO3,1.957880484,3.097037206,1.726523218,1.423823824,3.033051532,1.459999751,4.495848444,1.017630116,1.530334476,1.196634078,2.304032934,3.534359162,3.021765283,5.375160186,5.058265362,6.242684655,1.389599241,1.837018471,11.51906585,10.04597188,12.66491222,6.348513585,5.321313579,32.53420542,31.43840241,9.712904943,20.82791933,9.74048715,31.529725,22.78862549,5.792988098,32.47691017,43.88202905,63.42051993,5.8021427,26.00932903,32.32776,8.131077916,11.57488408,10.14925323,78.11575904,38.35176595,64.87796492,8.090124622,44.26552886,65.22486817,17.82328893,16.27030297,15.10557407,55.9523313,32.2619051,18.481605,11.01453843,41.3271122,20.81300993,87.14188111,37.49694093,22.22554133,66.54518927,91.72147251,15.24226498,33.37702799,20.4869849,66.82193833,60.89815242,33.31088913,215.9297064,72.95053421,114.7792189,142.4813367,106.2650866,41.14358864,77.91934377,37.48487057,24.60744423,36.8297731,59.03723789,17.67627044,32.91114803,95.27450059,30.79944086,25.09205808,101.4183677,22.93460802,85.76306904,56.38102678,16.39094321,36.48806059,16.64282474,11.16994073,1.238635155,24.80408777,2.068574907,37.58849875,45.388125,3.665982678,4.506990482,26.5382716,1.36213255,0.888199633,21.74626564,1.990223749,27.50813157,7.078245527,2.34730643,3.422600842,9.89645706,0.946669378
WFPS,44.0016312,48.20583559,32.13154078,40.10869141,48.43469984,51.09728516,35.70960529,48.85034832,45.49166667,44.17413428,45.18372052,51.95572776,32.82282158,44.38818326,50.96682658,39.47824345,45.38012642,45.18851757,44.6448749,32.01866652,37.79215691,39.92923147,38.42820189,42.23498168,46.59409806,46.23465959,40.88509948,42.15835255,38.41172693,44.57027406,36.74878236,41.72133227,44.95613395,45.50858184,35.46577966,43.39181287,38.41111383,56.03647816,45.23398049,39.8323711,33.13820433,35.35560835,40.10624763,41.67527326,35.41816727,45.33522925,32.8418298,37.96895557,38.82594596,35.88596378,39.07447632,35.27400938,36.87288196,35.08421464,34.16337464,26.53089757,30.31199025,25.18767021,19.68665726,28.82305569,30.46103264,28.74865118,27.2734255,41.18324614,35.45793491,42.4581028,39.26401384,34.11702155,35.42302704,32.46999321,32.62825592,32.54949494,47.94777195,43.8119509,59.82071675,59.34383237,40.27768754,42.26818886,41.16343435,37.45768939,39.04818797,46.94431267,39.77713809,43.6217366,39.28417882,36.32960486,44.28431381,38.89725387,40.21881412,35.15644555,47.1170723,41.39018476,43.09525801,39.65127969,37.61084541,40.99767701,37.91995565,36.95823532,35.49941246,30.20297721,25.21285468,28.23671985,23.99550099,26.72178742,30.66928747,31.46694882,29.72394279,26.61004153
pH,7.02,7.18,6.82,6,5.85,6.8,6.15,6.4,6.37,6.36,5.86,6.16,5.99,5.87,6.18,5.77,5.63,6.34,6.59,5.68,6.27,5.88,5.5,6.72,6.8,6.31,5.83,6.65,5.65,6.29,6.27,5.76,5.87,5.31,6.04,5.71,6.55,6.02,6.03,6.03,5.63,5.94,5.28,6.06,6.78,6.77,6.84,6.3,6.2,5.38,6.11,5.56,6.05,5.88,7,7.01,7.01,7,5.96,7,7.01,7.01,7.01,6.73,5.79,6.18,6.51,5.54,6.09,5.56,5.98,5.71,6.62,6.16,6.33,5.83,5.67,6.2,5.1,6.03,5.85,6.73,5.71,6.27,5.49,5.85,6.41,5.53,6.08,5.77,6.76,6.12,6.19,5.99,5.71,6.29,5.72,6.07,5.8,6.72,5.87,6.39,5.45,6.1,6.28,5.71,6.15,6.07
N2O_production,9.478325458,17.0830733,7.062219557,11.23725293,4.671916377,12.54503595,3.245709769,2.871589055,7.45858761,5.318205285,5.982852153,23.9255095,3.692647957,13.64678491,1.491644806,0.708590104,2.157859897,13.03204129,3.526889273,13.26072073,6.074302443,0.799680815,8.025560285,16.15233874,10.81563427,45.42258128,19.45678661,6.15984658,19.97513162,11.52691292,3.217404387,31.65495224,24.69325302,27.22609065,5.563745407,9.036245643,1.485816825,65.92690679,16.95393286,0.538852297,12.88860402,18.38521641,37.71439557,46.41831691,19.47535487,4.79316294,30.25255966,6.152302615,1.510459811,8.046186904,7.067946785,20.6670412,14.85574012,1.903080559,8.794922638,21.6734339,9.418047035,1.193432319,3.099025296,7.699803847,6.482226984,6.380535245,9.328108456,20.24708567,24.04249445,18.14979795,21.45646807,6.014062888,7.640449268,6.510369871,9.223121391,5.545068019,31.54812749,27.43311623,90.91708663,64.50595245,14.13335011,18.17466807,21.51699517,9.167210316,15.90363152,6.505380868,7.737238033,27.67256439,19.72442734,1.978960371,1.741937938,8.602988945,3.135010482,2.295039182,12.98501105,9.457367199,8.720191603,8.847686946,1.648204716,0.925177945,6.705307518,3.262195095,1.324046697,0.631634658,0.412194813,0.249936258,0.29993598,0.146199699,0.129353738,0.469697847,0.272635649,0.189475574
N2O_consumption,0.539783408,0.575519162,0.710690021,1.397830877,0.805584767,2.226514474,1.656005345,0.89791376,1.154920817,0.904757958,0.549996196,1.72400346,0.619078024,0.636121979,0.825076497,0.534885429,0.50240665,0.673162074,0.47991666,0.32418177,0.366719616,0.344547898,0.374792086,0.903877506,0.552358178,0.606986985,0.708527322,0.35448116,0.443097937,0.331558591,0.542030914,0.815569051,1.103776381,0.936451461,1.244092571,0.36736917,0.208234424,1.76435448,0.55335981,0.195216819,0.052770455,0.644665496,0.139030298,0.839240469,0.310751589,0.335400032,0.33576841,0.363037227,0.360376246,0.319507703,0.537489053,0.952671106,0.579765879,0.223115879,0.518623113,0.139479298,0.19349712,0.069691559,0.041912458,0.314616875,0.491369039,0.3603005,0.199413362,0.600343517,1.112178563,0.176153549,1.292140039,0.177072478,0.619974137,0.89074222,0.283940941,0.131933487,1.005325393,1.082390368,1.603585749,1.699134785,0.351374317,0.543006988,0.791420411,0.183263982,0.497098387,0.83120697,0.245410106,0.554259031,1.346527852,0.453825626,0.54430787,1.129368845,0.618417897,0.460553805,0.985654203,0.762688348,0.763131177,1.801297589,1.236641077,0.723012471,1.437407712,0.838097837,0.5185676,0.105157133,0.166916912,0.085318771,0.140549962,0.051140305,0.105262448,0.221932556,0.098518079,0.061926422
N2O_flux,8.93854205,16.50755414,6.351529536,9.839422057,3.86633161,10.31852148,1.589704424,1.973675295,6.303666793,4.413447327,5.432855956,22.20150604,3.073569932,3.010662926,0.666568309,0.173704675,1.655453247,12.35887921,3.046972613,12.93653896,5.707582827,0.455132917,7.650768199,15.24846123,10.26327609,44.81559429,18.74825929,5.80536542,19.53203369,11.19535433,2.675373472,30.83938318,23.58947664,26.28963919,4.319652837,8.668876473,1.277582401,64.16255231,16.40057305,0.343635478,12.83583357,17.74055091,37.57536528,45.57907644,19.16460328,4.457762908,29.91679125,5.789265389,1.150083565,4.726679201,6.530457732,19.7143701,14.27597424,1.67996468,8.276299524,21.5339546,9.224549915,1.12374076,3.057112838,7.385186972,5.990857945,6.020234745,9.128695094,19.64674215,22.93031589,17.9736444,20.16432803,5.83699041,7.020475131,5.619627652,8.939180451,5.413134532,30.5428021,26.35072586,89.31350088,62.80681767,13.78197579,17.63166108,20.72557476,8.983946334,15.40653313,5.674173897,7.491827927,27.11830536,18.37789949,1.525134745,1.197630068,7.4736201,2.516592585,1.834485377,11.99935684,8.694678851,7.957060427,7.046389357,0.411563639,0.202165474,5.267899806,2.424097258,0.805479097,0.526477525,0.245277901,0.164617487,0.159386017,0.095059394,0.02409129,0.247765291,0.174117569,0.127549152
Fe_redox,1.626735316,1.465955,1.124728302,3.635415957,1.170947737,6.065138498,1.613891519,1.270928232,1.854238446,1.720126389,1.441240072,4.191652419,1.713581935,1.757261389,1.909384969,1.643747177,2.414925974,1.672227529,1.107604417,1.72669986,1.856077756,1.114079834,1.777737008,2.86944527,2.836932737,2.011951435,2.621299624,2.085734988,1.17802016,1.274512837,1.428288725,0.949677152,1.478709697,1.133067892,1.044867779,1.558604994,1.87480081,0.958502295,1.304783641,1.322282367,0.209110552,1.170282049,1.609816975,1.488335478,1.301890685,0.969476044,1.790332362,0.475767682,1.747428763,1.43483621,1.777860712,2.286695486,2.566568147,1.916812508,1.311726589,0.334671308,2.384107202,2.605467202,2.080347928,2.417153788,2.287402496,2.262744653,1.965012449,1.986453319,2.072787436,0.803843086,3.250751005,2.682771119,3.315650038,2.336197536,2.372983987,2.295741636,2.373959447,2.542382749,2.329734468,1.822420718,1.867519165,3.28632128,1.817124678,2.032266831,1.668223764,2.163525895,2.245925949,2.4554786,1.978800329,2.182431436,1.905846707,1.839248882,2.155617221,1.791445108,2.129207525,1.877184014,2.414054674,1.895063725,1.463067699,1.877184014,2.16680049,1.961295846,1.877184014,2.814923846,2.327925175,2.719218046,1.825604744,1.713792664,2.824682019,2.220561392,2.432292497,1.831294181
DOC,52.56825715,88.51091142,43.68352361,46.55102041,38.12118418,29.65639997,40.71926922,35.05977064,30.84696635,37.22797706,32.59616307,37.35924685,31.81110465,37.23810955,28.25670823,30.1419299,36.8787468,34.42735533,42.9052645,34.79213774,53.19921906,33.19623584,37.16829746,40.30485822,46.5682963,44.65058921,36.90041148,59.18670604,52.57017327,56.02281533,35.88564438,42.02548703,33.83470472,44.79739149,37.32512719,35.17444179,60.8068256,5.546311721,39.598215,36.58472326,47.96407568,39.47171662,41.45584644,34.48246169,10.50420168,51.33239943,43.61659388,47.80160216,41.69839015,37.81628342,35.9861589,33.70632853,35.90005748,31.72087804,58.62092673,92.60323303,46.30345978,38.25533328,43.71363484,46.50053633,34.3310814,37.71572284,44.53373416,46.49099747,55.80493986,43.24914245,58.899063,41.53854451,47.67185933,41.33729226,39.55357543,36.28991799,54.21979828,47.44466227,39.2310086,46.7743851,39.0534188,38.16924656,50.46497873,37.34037647,41.52756561,38.40567452,51.85015072,31.32999601,37.21193733,31.97597708,29.95643556,34.90044724,35.78441066,28.96935686,51.7946725,51.63041359,48.04183686,41.02981622,37.43822946,36.49081956,39.47418221,45.32209196,33.52596252,40.82126255,39.09661642,37.74135686,40.80020971,27.08908681,29.09969151,35.80926647,33.50953292,27.57446704
MBC,30.24631456,0,74.3686678,65.0718065,56.07155685,0,-42.1211695,63.0114844,0,77.83041241,105.5695627,48.05070452,62.70471552,50.93181513,46.24878544,69.77103177,64.17459239,61.27973074,98.99415289,72.83934643,0,50.14288529,58.17885227,55.73744527,54.55755266,104.236068,100.3241445,126.6012995,126.3222203,133.4299288,72.74359454,40.18962915,99.75826633,81.25697465,96.55625268,70.18374535,83.79208933,43.4208565,78.85160919,0,43.80251398,55.3982182,56.92110496,89.13452844,138.9688295,64.72662632,62.78151329,75.61205653,80.89037189,71.59390464,82.623802,106.265765,111.0377385,102.8030017,86.44458846,86.77415137,123.9418047,95.62859124,50.06351849,72.02587621,79.83551276,80.25875651,73.05171917,72.22174286,61.41198726,73.62159624,104.9599052,59.37001092,88.54909829,95.31702335,98.26571715,82.91277483,88.14704114,47.27796332,73.89495026,114.0681133,67.88423839,45.08383014,60.45732351,120.8888418,60.92217222,89.74044437,65.51758596,91.65533849,64.00784138,38.54474981,104.0586569,76.5998588,166.1979245,71.70566518,150.023684,91.30494263,184.3379957,92.30018655,72.41746728,82.66078329,96.91416605,103.2134572,77.03562355,105.9272001,114.194172,128.9278627,105.4144163,92.3364029,80.66925482,89.15646288,121.2778522,98.9948564
