sample,NH4,NO3 ,ST,WFPS,pH,Production,Reduction,Fe_redox,DOC
1,206.4919056,2.988543703,14.4,41.77000675,7.61,4.35486352,1.825400144,4.080934474,58.03194908
2,4.367721949,2.043933402,14.1,43.2257563,6.75,2.657811253,2.369790698,4.783987695,53.44114095
3,8.936737128,1.673210451,14.6,48.4236996,6.83,2.473415404,0.363753385,1.220156306,36.90678977
4,12.63537906,2.340926838,13.2,60.1252676,5.95,3.056898221,0.798786948,1.337104139,35.37822971
5,2.04818569,3.069092191,15.5,55.13479945,7.37,2.257386219,0.666879332,0.901811227,26.41158608
6,57.77372632,2.824513904,16.9,42.95403043,6.87,4.404516333,1.563407321,3.837060366,41.02193068
7,13.8886845,3.038044448,16.4,43.92099139,6.44,1.364153412,1.071392321,2.000230902,39.66368136
8,11.04203018,2.775516468,16.7,41.79789686,6.46,0.969821467,0.460561642,1.779010643,19.22978507
9,231.2213121,1.359481813,15.6,47.96501659,7.02,1.997204559,0.202340487,1.720674017,49.89904084
10,10.3647569,6.210654369,16.2,49.45750834,6.52,2.318636744,0.382535425,2.79661537,34.22414275
11,3.852686639,3.746814743,27,36.83934592,6.74,0.73102041,0.096149296,0.685749175,31.32766706
12,99.64292363,5.311342039,27,38.18578806,6.58,0.947564835,0.741145441,2.146475554,27.70083242
13,53.59596958,6.851010778,27,32.01061405,6.12,0.419516842,0.126433394,2.155021044,24.01745098
14,7.631336406,13.69140961,27.4,32.12118681,5.89,2.543222766,0.289687262,2.024131374,32.24307692
15,0.782134059,41.82515863,28,41.44493851,6.11,2.813878217,0.332147546,2.824526855,32.48618397
16,5.890861467,0.589965883,18,40.65455343,6.53,2.195186455,1.611864315,1.782244307,47.32716201
17,10.10914383,13.75815099,17,43.96311848,6.31,1.715297315,0.655699123,1.356607214,45.15122374
18,3.693559133,4.196147164,16,38.23073043,6.29,1.09901528,0.218426834,2.006419994,49.12473398
19,1.149255112,3.864641442,18,33.5846521,6,2.432888404,0.230412518,0.942370529,35.6912919
20,0.795720584,9.568094412,17,48.3649664,6.32,4.950725835,0.105234879,1.036029808,31.50990812
21,2.567837574,3.371362007,27,38.45424789,6.25,1.485816825,0.208234424,1.183712462,52.32203048
22,3.205478201,9.280425014,27,33.25804081,6.18,1.135059331,0.085487972,2.458609361,30.06053238
23,1.495563119,5.451592402,29,31.83401659,6.25,0.501843189,0.168370541,0.867367829,23.15568171
24,0.543382855,7.965852545,28,27.55959815,6.24,0.855662251,0.13370357,0.880946507,44.87282522
25,2.606899806,6.469880162,25,36.62311905,6.17,5.129164592,0.118893171,1.000078534,33.55230579
26,3.770907268,6.091466646,25,39.74383012,6.19,4.462282812,0.684813116,1.475767682,45.05118644
27,0.649609346,11.49792367,26,37.74794936,6.29,4.624915963,0.356192239,0.796300355,36.93842719
28,1.244984856,7.938867795,24,33.98255976,6.27,0.986064867,0.269020908,1.677096255,40.75269304
29,0.518902901,13.55000365,24,27.46965805,6.11,1.608496508,0.436984926,2.233630707,42.19889745
30,0.509794099,8.011621761,24,42.29918477,6.27,2.606477206,0.087953032,1.945580662,33.87175146
31,117.4022414,22.21916501,30,25.78376375,7.01,1.123788068,0.145076702,2.763266266,43.32925376
32,15.23165584,23.34007483,29,25.90476805,7,0.764640272,0.033732748,2.371946505,47.86329845
33,235.5051575,8.038459356,30,20.47092275,7.01,0.936214948,0.156882824,3.062363978,42.74084165
34,116.9577137,19.92971455,32,22.08552449,7,0.425954203,0.193237575,2.459773045,48.86086686
35,48.89607982,3.576133112,28,36.44134286,5.82,1.378534729,0.283140436,1.63103688,31.37931034
36,15.7678028,41.34490384,27,41.07707461,6.26,3.166278115,0.402870701,1.07858303,48.9495098
37,15.24073427,26.5496431,27,45.1442576,6.04,3.34430728,0.206467506,1.088397188,32.18178396
38,64.25146886,16.00675428,28,41.50560388,6.43,1.1217287,0.223362785,0.965499585,54.89701178
39,1.235843769,20.12992868,27,30.35958148,5.85,6.203803455,0.542376971,2.504435926,41.15566921
40,49.40701204,3.89309927,27,45.7091331,6.33,2.407445465,0.244234141,2.758314706,38.41039571
41,2.264471448,44.69304941,26,40.41107493,6.48,19.79276922,1.327538615,2.241121554,64.10009419
42,4.11131798,37.05905416,27,50.15730777,6.32,14.12912478,0.210919865,2.433349004,66.55431499
43,25.55742684,12.74122007,27,40.90663076,5.49,1.324854014,0.411897588,3.115283015,47.46422404
44,0.86305627,16.30486515,28,36.27211312,6.04,8.341499624,0.529775725,2.022874583,40.13556977
45,1.348273959,32.30614,28,45.94303749,6.44,15.52528938,0.887477191,1.737767021,49.80900394
46,0.519380919,7.926487078,25.9,43.9737834,5.64,3.253562083,0.770278456,2.222931178,44.4082364
47,1.565995828,15.75017491,26.4,52.04891433,6.25,7.772386552,0.458497031,1.421943959,37.65813968
48,0.480061413,19.99366527,25.8,42.13190025,6.08,0.83126229,0.477482338,2.067216753,30.6737914
49,0.653851103,13.76481333,26.8,34.19961655,5.71,2.305777805,0.612547118,1.627300111,32.63200311
50,1.084780516,4.428995684,26,51.8344161,5.94,3.885639231,0.673530554,1.617299656,32.23510596
51,0.443668493,14.05751294,23,48.51950718,6.84,2.924979289,0.832373387,2.308422061,39.59513487
52,0.747302913,20.37873167,22.7,47.59826146,6,2.55035495,0.385917273,1.35173948,37.70378063
53,0.402116402,2.65725514,22.8,37.04932181,5.91,0.997911424,0.493134208,1.662779499,36.75703489
54,0.882719215,11.8771343,23.3,32.20118977,6.29,3.001194683,0.804090274,1.751586284,37.53242755
55,0.381363244,3.415948313,22,47.06392052,6.08,1.78173632,0.669527686,1.637687404,34.55302223
