sample,NH4,NO3,ST,WFPS,pH,Production,Reduction,Fe_redox,DOC
1,25.8655411,1.957880484,14.7,44.0016312,7.02,9.478325458,0.539783408,1.626735316,52.56825715
2,276.9166072,3.097037206,14.9,48.20583559,7.18,17.0830733,0.575519162,1.465955,88.51091142
3,96.48975895,1.726523218,15.1,32.13154078,6.82,7.062219557,0.710690021,1.124728302,43.68352361
4,14.11811812,1.423823824,15.8,40.10869141,6,11.23725293,1.397830877,3.635415957,46.55102041
5,17.10714109,3.033051532,14.5,48.43469984,5.85,4.671916377,0.805584767,1.170947737,38.12118418
6,5.447093871,1.459999751,13,51.09728516,6.8,12.54503595,2.226514474,6.065138498,29.65639997
7,109.9475091,4.495848444,13.1,35.70960529,6.15,3.245709769,1.656005345,1.613891519,40.71926922
8,5.833364034,1.017630116,15.1,48.85034832,6.4,2.871589055,0.89791376,1.270928232,35.05977064
9,4.376534036,1.530334476,15.8,45.49166667,6.37,7.45858761,1.154920817,1.854238446,30.84696635
10,4.589835093,1.196634078,16.5,44.17413428,6.36,5.318205285,0.904757958,1.720126389,37.22797706
11,31.26212803,2.304032934,16.1,45.18372052,5.86,5.982852153,0.549996196,1.441240072,32.59616307
12,22.14056988,3.534359162,15.8,51.95572776,6.16,23.9255095,1.72400346,4.191652419,37.35924685
13,7.874762264,3.021765283,16.3,32.82282158,5.99,3.692647957,0.619078024,1.713581935,31.81110465
14,38.38870101,5.375160186,15.8,44.38818326,5.87,13.64678491,0.636121979,1.757261389,37.23810955
15,28.91172456,5.058265362,14.6,50.96682658,6.18,1.491644806,0.825076497,1.909384969,28.25670823
16,32.88825233,6.242684655,15.5,39.47824345,5.77,0.708590104,0.534885429,1.643747177,30.1419299
17,95.83931375,1.389599241,15.6,45.38012642,5.63,2.157859897,0.50240665,2.414925974,36.8787468
18,87.75974963,1.837018471,16,45.18851757,6.34,13.03204129,0.673162074,1.672227529,34.42735533
19,8.964248949,11.51906585,24,44.6448749,6.59,3.526889273,0.47991666,1.107604417,42.9052645
20,1.659343867,10.04597188,26,32.01866652,5.68,13.26072073,0.32418177,1.72669986,34.79213774
21,29.14538243,12.66491222,26,37.79215691,6.27,6.074302443,0.366719616,1.856077756,53.19921906
22,6.711148687,6.348513585,30,39.92923147,5.88,0.799680815,0.344547898,1.114079834,33.19623584
23,32.2642193,5.321313579,25.8,38.42820189,5.5,8.025560285,0.374792086,1.777737008,37.16829746
24,226.3618497,32.53420542,26.5,42.23498168,6.72,16.15233874,0.903877506,2.86944527,40.30485822
25,195.9728885,31.43840241,26.7,46.59409806,6.8,10.81563427,0.552358178,2.836932737,46.5682963
26,150.2549677,9.712904943,25,46.23465959,6.31,45.42258128,0.606986985,2.011951435,44.65058921
27,4.361831166,20.82791933,27,40.88509948,5.83,19.45678661,0.708527322,2.621299624,36.90041148
28,9.707553487,9.74048715,17,42.15835255,6.65,6.15984658,0.35448116,2.085734988,59.18670604
29,3.528162459,31.529725,16,38.41172693,5.65,19.97513162,0.443097937,1.17802016,52.57017327
30,6.769510061,22.78862549,18,44.57027406,6.29,11.52691292,0.331558591,1.274512837,56.02281533
31,32.02560065,5.792988098,18,36.74878236,6.27,3.217404387,0.542030914,1.428288725,35.88564438
32,2.716301075,32.47691017,18,41.72133227,5.76,31.65495224,0.815569051,0.949677152,42.02548703
33,19.18320252,43.88202905,17,44.95613395,5.87,24.69325302,1.103776381,1.478709697,33.83470472
34,93.84617477,63.42051993,17,45.50858184,5.31,27.22609065,0.936451461,1.133067892,44.79739149
35,1.194300225,5.8021427,17,35.46577966,6.04,5.563745407,1.244092571,1.044867779,37.32512719
36,1.139192642,26.00932903,18,43.39181287,5.71,9.036245643,0.36736917,1.558604994,35.17444179
37,26.81014038,32.32776,25,38.41111383,6.55,1.485816825,0.208234424,1.87480081,60.8068256
38,1.306447102,8.131077916,28,56.03647816,6.02,65.92690679,1.76435448,0.958502295,5.546311721
39,1.305196739,11.57488408,24,45.23398049,6.03,16.95393286,0.55335981,1.304783641,39.598215
40,20.29278414,10.14925323,24,39.8323711,6.03,0.538852297,0.195216819,1.322282367,36.58472326
41,1.164825573,78.11575904,28,33.13820433,5.63,12.88860402,0.052770455,0.209110552,47.96407568
42,0.693717998,38.35176595,27,35.35560835,5.94,18.38521641,0.644665496,1.170282049,39.47171662
43,12.5351227,64.87796492,28,40.10624763,5.28,37.71439557,0.139030298,1.609816975,41.45584644
44,0.847044534,8.090124622,24,41.67527326,6.06,46.41831691,0.839240469,1.488335478,34.48246169
45,0.23303439,44.26552886,26,35.41816727,6.78,19.47535487,0.310751589,1.301890685,10.50420168
46,6.575265441,65.22486817,24,45.33522925,6.77,4.79316294,0.335400032,0.969476044,51.33239943
47,0.732274661,17.82328893,25,32.8418298,6.84,30.25255966,0.33576841,1.790332362,43.61659388
48,0.823830945,16.27030297,23,37.96895557,6.3,6.152302615,0.363037227,0.475767682,47.80160216
49,14.34325019,15.10557407,23,38.82594596,6.2,1.510459811,0.360376246,1.747428763,41.69839015
50,2.090879142,55.9523313,26,35.88596378,5.38,8.046186904,0.319507703,1.43483621,37.81628342
51,0.540102823,32.2619051,25,39.07447632,6.11,7.067946785,0.537489053,1.777860712,35.9861589
52,1.235699149,18.481605,25,35.27400938,5.56,20.6670412,0.952671106,2.286695486,33.70632853
53,0.707928052,11.01453843,22,36.87288196,6.05,14.85574012,0.579765879,2.566568147,35.90005748
54,0.648013341,41.3271122,22,35.08421464,5.88,1.903080559,0.223115879,1.916812508,31.72087804
55,196.7130155,20.81300993,28,34.16337464,7,8.794922638,0.518623113,1.311726589,58.62092673
56,231.8386022,87.14188111,29,26.53089757,7.01,21.6734339,0.139479298,0.334671308,92.60323303
57,3.273448891,37.49694093,28,30.31199025,7.01,9.418047035,0.19349712,2.384107202,46.30345978
58,239.9374712,22.22554133,28,25.18767021,7,1.193432319,0.069691559,2.605467202,38.25533328
59,4.792421784,66.54518927,32,19.68665726,5.96,3.099025296,0.041912458,2.080347928,43.71363484
60,35.53392358,91.72147251,31,28.82305569,7,7.699803847,0.314616875,2.417153788,46.50053633
61,11.77138393,15.24226498,31,30.46103264,7.01,6.482226984,0.491369039,2.287402496,34.3310814
