sample,CO2_flux,NH4,NO3 ,SOC,TN ,ST,WFPS,pH,Production,Reduction,GMR,GNR,Nitrification_N2O_flux,Denitrification_N2O_flux,Fe_redox,DOC,MBC,POC
1,0.992305308,5.351912671,125.7313284,24.49986895,2.249712109,30.9,28.56010131,5.27,2.722785296,0.681771651,5.408434255,15.6378262,1.191857867,1.784527262,2.514435343,132.1822845,189.3879107,2.446485266
2,0.614109328,2.66050396,67.19314156,21.67714768,1.855471076,23.8,22.6100802,5.72,0.231653196,0.128596159,1.525688613,26.12354059,0.579425558,0.137932742,1.134435822,71.62908026,211.273513,1.247596364
3,0.630360407,1.286021654,143.0556634,23.42148371,2.122394044,27.9,31.11011035,5.42,0.357620302,0.161610384,1.945279256,13.6779029,1.823724789,0.26585598,0.633537759,82.17524544,242.1461224,1.889042659
4,0.403153512,0.664494304,20.82529734,21.35531528,1.865916022,23.2,43.52015437,6.28,0.313693163,0.154675906,2.166313262,7.930087096,0.15916209,0.350156298,0.918522117,20.225334,77.41254184,1.199322422
5,0.436389621,1.211361622,23.06813612,23.61698907,2.039259255,22.6,36.72013025,5.9,5.762096542,0.30605486,4.099929313,8.963683051,0.760176109,0.6804479,1.200039518,51.30118148,101.0978553,1.67554371
6,0.551485402,1.262398475,63.33773178,22.54638377,2.112131231,28.8,20.17665327,6.3,2.561412528,0.192098673,7.426747601,35.16456376,0.781185114,0.964678621,0.83667,58.38961126,171.7698669,2.048215831
7,0.554157038,6.685280411,58.47963736,25.27022231,2.142718852,25.2,7.555431744,5.24,0.162724235,0.070475378,5.601659088,7.629970057,0.360676875,0.254620565,1.031694144,58.84073994,132.5446035,1.3675364
8,0.391882347,4.745704886,25.85510154,26.46389342,2.21792487,29.8,15.42567314,5.39,0.341883157,0.09112586,6.736565665,9.58780591,2.425166395,5.768494543,0.50050171,27.81064038,320.1544152,2.001079753
9,0.329193572,0.99734928,9.10656215,26.53423344,2.20878778,25.7,46.1196146,5.71,0.221688201,0.110424375,3.874372443,2.124418534,0.317636067,0.149930429,0.392740124,17.76390305,94.7576373,2.234520734
10,0.663092868,1.283695137,18.81701968,25.78534333,2.214100943,24.6,45.80480495,5.7,7.976010179,0.572562837,2.079693351,9.189619829,0.149655136,0.472358945,2.515546933,65.32564752,131.2828034,2.699897654
